scheduler,seed,best_mult,gain_abs,gain_pct,sla_honest_truthful,sla_honest_misreport,thr_honest_truthful,thr_honest_misreport,delta_honest_thr,throughput_truthful,floor_truthful,jain_truthful
GTMD-RL,1.5,1.0,0.0,0.0,0.9784027777777777,0.9784027777777777,11.575484835945977,11.575484835945977,0.0,27.54276597140178,0.9222222222222223,0.7563172186237705
GTMD-noPay,1.5,2.375,194068.75595045503,13.545062913724617,0.9784027777777777,0.9826388888888888,11.575484835945977,9.867442201658402,-1.7080426342875747,27.54276597140178,0.9222222222222223,0.7563172186237705
MaxCQI+Floors,1.5,0.9625,0.0,0.0,0.973125,0.973125,11.335665386994751,11.335665386994751,0.0,29.43503027875258,1.0,0.6970502023413901
ProportionalFair+Floors,1.5,0.85,26176.85116382077,2.0315049391052966,0.7323611111111111,0.7763194444444445,12.653042611132289,12.429328290465508,-0.22371432066678087,27.872999957586266,1.0,0.8006533905705828
RoundRobin+Floors,1.5,0.925,0.0,0.0,0.746736111111111,0.746736111111111,12.760246383884773,12.760246383884773,0.0,27.681585874930484,1.0,0.8072500945233918
