load,L,rho_hat,strategic_rho_hat,truthful_reward_per_slot,strategic_reward_per_slot,truthful_utility,strategic_utility,raw_strategic_gain,ic_slack,theory_rho_T_over_L,mean_delay_ms,sla_violation_rate,throughput_mbps,wasted_prbs
0.45,30,0.0,0.0,-0.9023143267006903,-1.1598425056037485,12929.062714428466,20015.96198192319,7086.899267494722,0.0,0.0,0.5103596217097498,0.04444444444444444,4.853018872843732,1.0325020200435133
0.45,60,0.0,0.0,-3.0533388342192356,-3.3157148332978643,13979.18304034458,21744.852751515788,7765.669711171207,0.0,0.0,0.664981430080387,0.08,5.2041473343229185,0.8536478477324693
0.85,30,0.0,0.0,-5.405505897083775,-6.27162721878123,47183.8380580034,58019.629855200146,10835.791797196747,0.0,0.0,0.9839408617303491,0.12944444444444445,9.272509529702203,0.6425429364062338
0.85,60,0.0,0.0,-4.830243083309139,-5.465758190567147,41143.742095223766,65613.28121466766,24469.539119443893,0.0,0.0,0.974598051252805,0.12166666666666663,8.993027565751621,0.4073875646638337
1.25,30,0.0,0.0,-6.5666711644739335,-15.82707199815117,102820.04671780781,125491.26023138655,22671.21351357874,0.0,0.0,1.171553316797711,0.1638888888888889,13.401480831733911,0.5406276130076234
1.25,60,0.02,0.0,-12.091062730099786,-18.008508942400027,159166.94932213365,164092.66038456946,4925.711062435817,98.51422124871635,0.2,6.348645010095973,0.35277777777777775,14.829685680939448,0.4149293546778886
