epoch,load,L,reward,rho,mean_delay_ms,sla_violation_rate,throughput_mbps,wasted_prbs,planner_action,report_multiplier,payment_sum,theta_URLLC,report_URLLC,weight_URLLC,alloc_URLLC,payment_URLLC,utility_URLLC,theta_eMBB,report_eMBB,weight_eMBB,alloc_eMBB,payment_eMBB,utility_eMBB,theta_mMTC,report_mMTC,weight_mMTC,alloc_mMTC,payment_mMTC,utility_mMTC,scenario
0,0.45,30,67.86941152371021,0.0,0.26895310656259086,0.0,6.077718404502576,1.6377614701070504,0,1.0,1030.7405393333963,1.022985466924195,1.022985466924195,3.6640625000000004,2.0,31.277390132484413,30.10173788296727,8.627489753757734,8.627489753757734,2.08609375,9.0,970.9622937632071,1358.4599397513816,1.0604557990155736,1.0604557990155736,0.46375000000000005,2.033333333333333,28.50085543770475,36.18694830224525,truthful
1,0.45,30,50.17032761236729,0.0,0.6650385413954069,0.0,3.9287804097017602,1.335261037015247,0,1.0,307.4670243123853,1.1536833795523802,1.1536833795523802,3.4583905325012005,2.0,30.00575269342231,69.31698796268779,4.187758788312472,4.187758788312472,2.1185667682892197,5.0,275.161271618963,1711.4624863792892,0.9662366275578009,0.9662366275578009,0.47505860406332906,1.5333333333333334,2.3000000000000043,78.3338331699041,truthful
2,0.45,30,83.04064283170652,0.0,0.8625240960767349,0.0,6.9809036160135935,1.1606801624623229,0,1.0,711.8197903977673,1.012473094134895,1.012473094134895,3.6262300056551675,2.0,30.971874298295383,99.09349931248609,5.802274781344016,5.802274781344016,2.0425255660436528,6.0,403.03082252206514,2352.8411244991466,6.130390710340726,6.130390710340726,0.4925063405693867,7.866666666666666,277.8170935774067,1247.2889472329084,truthful
3,0.45,30,47.68635922958285,0.0,0.40453706452428634,0.0,3.9451607329094793,0.8643438138009075,0,1.0,279.0372673205543,0.6654496667484736,0.6654496667484736,3.485020579019842,1.0,1.5,117.5569893149403,4.2957674399292225,4.2957674399292225,1.8232285939282604,5.0,274.1872673205543,2723.0189731679757,0.8476154028962398,0.8476154028962398,0.6303586452835436,2.2333333333333334,3.3499999999999943,1300.7291792269564,truthful
4,0.45,30,4.624141819384182,0.0,0.3051061221388642,0.022222222222222223,3.5984390772849166,0.9255723814244621,2,1.0,431.91013650423326,0.7820920549309924,0.7820920549309924,3.4911140419837086,1.0,1.5,139.51975096287006,5.25818773958739,5.25818773958739,3.2435209207850453,6.0,428.91013650423326,3240.5826297894723,0.8623190269885928,0.8623190269885928,0.5212519574140039,1.0,1.5000000000000036,1325.098750036614,truthful
5,0.45,30,-245.07386184412448,0.0,0.964038997083184,0.15555555555555556,4.6915133096838195,0.13115925463542397,0,1.0,426.07046705486226,0.9284909843242375,0.9284909843242375,3.495015910488029,1.1333333333333333,1.7000000000000028,169.38844442989415,5.591672225096523,5.591672225096523,1.8861315113246202,6.0,422.7204670548623,3824.3631632519837,0.9909059239474172,0.9909059239474172,0.5950884972030345,1.1,1.6499999999999986,1356.148645526879,truthful
6,0.45,30,-65.31459234112167,0.0,0.9286584617641405,0.05555555555555555,5.436039719715448,0.5167794704558399,7,1.0,800.5457434631678,0.7754225503118317,0.7754225503118317,5.789982969964867,1.1,1.6499999999999986,193.3273885901846,7.378389898079793,7.378389898079793,1.7166897240806196,8.0,796.5957434631679,4798.580995327967,0.9068394220463849,0.9068394220463849,0.8433916236206301,1.5333333333333334,2.3000000000000043,1395.5632589410127,truthful
7,0.45,30,-19.42850565508416,0.0,0.5354304591859346,0.03333333333333333,5.5048664213662475,0.570009727637475,2,1.0,803.3991854932988,0.9459128669517876,0.9459128669517876,3.479136511664538,1.0,1.5,220.20477459873823,7.321241442125215,7.321241442125215,3.4063885596244345,8.0,774.571446242882,5781.107495195137,1.4640799560683855,1.4640799560683855,0.4800811318255295,2.1333333333333333,27.327739250416826,1461.9366368789726,truthful
8,0.45,30,-53.615647103741665,0.0,0.4852362483527224,0.05555555555555555,4.35989377594487,0.38498040907254266,2,1.0,421.19136092070505,0.7643002109649836,0.7643002109649836,3.467755377233523,1.0,1.5,241.63378092768772,5.631801087190859,5.631801087190859,3.4306282718426635,6.0,418.0413609207051,6376.790329968787,0.7932051296815732,0.7932051296815732,0.4750958697811297,1.1,1.6500000000000021,1486.4624061584645,truthful
9,0.45,30,29.9362230531272,0.0,0.2892161871005779,0.011111111111111112,3.2295028790502944,0.9167838899588318,1,1.0,203.7276536383938,1.1265345515034795,1.1265345515034795,6.58870303275999,2.0,31.29267368170082,277.9331803361957,3.69135221436451,3.69135221436451,1.9742231131280388,4.0,170.88497995669297,6648.867615735835,0.9069012123332486,0.9069012123332486,0.4411787231019889,1.0333333333333334,1.5500000000000007,1513.0263437407953,truthful
