load,L,seed,rho_hat,ic_slack,ic_slack_pct,best_multiplier,strategic_rho,regret,learned_reward,best_fixed_reward,truthful_utility,theory_rho_T_over_L,theory_sqrt_LT
0.6,30,5632.0,0.021041666666666667,0.0,0.0,1.0,0.021041666666666667,1503.7688270874703,-121738.51554474421,-120234.74671765673,418830.0268665645,1.6833333333333333,268.32815729997475
0.6,60,5662.0,0.026944444444444448,0.8838107138387082,0.00016676998582507553,1.0041666666666667,0.026944444444444448,1555.6372716611756,-117394.42745345553,-115838.79018179436,408642.23466167785,1.0777777777777777,379.4733192202055
0.6,120,5722.0,0.029305555555555557,52.69426389256356,0.01456789184020747,0.9958333333333332,0.027083333333333334,2658.386328547709,-117718.13656716321,-115059.7502386155,394315.47852028627,0.5861111111111111,536.6563145999495
0.6,240,5842.0,0.016666666666666666,0.0,0.0,1.0,0.016666666666666666,1309.4075819461505,-118438.14706179492,-117128.73947984877,412330.4789626398,0.16666666666666666,758.946638440411
0.9,30,5662.0,0.26215277777777773,1652.3439472774917,0.17906059575025177,1.0166666666666666,0.2844097222222222,3052.7331328347805,-139414.9930720233,-136362.25993918852,870899.3362365171,20.972222222222225,268.32815729997475
0.9,60,5692.0,0.2698263888888889,2047.149202962736,0.22266383419404953,1.0208333333333333,0.27381944444444445,4356.090281381615,-139664.50429322664,-135308.41401184502,892997.4582561945,10.793055555555554,379.4733192202055
0.9,120,5752.0,0.2569444444444444,191.22867900022538,0.02813189513174443,1.0041666666666667,0.25975694444444447,3993.741045087205,-137519.28998344793,-133525.54893836073,932912.4476356927,5.138888888888889,536.6563145999495
0.9,240,5872.0,0.27177083333333335,34.99414309721518,0.0054638682435953325,0.9958333333333332,0.2728819444444444,5439.356508481372,-135456.4941448492,-130017.13763636781,855816.5029614241,2.717708333333333,758.946638440411
1.2,30,5692.0,0.5920486111111111,3185.6440196962017,0.2313404804171951,0.9916666666666667,0.5904513888888889,1054.0789793000367,-147667.140461906,-146613.061482606,1394690.7847222092,47.36388888888889,268.32815729997475
1.2,60,5722.0,0.573298611111111,3868.2203489492726,0.2899073027524383,1.0166666666666666,0.5710416666666667,1649.917369069398,-146447.30621939394,-144797.38885032453,1319203.490629746,22.931944444444444,379.4733192202055
1.2,120,5782.0,0.5883333333333334,3931.02740557777,0.32181747969776975,1.0208333333333333,0.5860416666666667,1420.5357723362442,-146683.1410209616,-145262.60524862536,1334387.575706783,11.766666666666666,536.6563145999495
1.2,240,5902.0,0.5897222222222221,1662.7823360526043,0.11974125886085851,0.9833333333333334,0.5725,3294.495515934543,-145747.27060604354,-142452.775090109,1367965.51586071,5.897222222222222,758.946638440411
