load,L,rho_hat,strategic_rho_hat,truthful_reward_per_slot,strategic_reward_per_slot,truthful_utility,strategic_utility,raw_strategic_gain,ic_slack,theory_rho_T_over_L,mean_delay_ms,sla_violation_rate,throughput_mbps,wasted_prbs
0.55,30,0.0,0.0,-4.3157047109208175,-5.175648625878923,39940.75870738497,62451.01823688035,22510.25952949538,0.0,0.0,0.8344445879497157,0.11055555555555556,8.578335042382312,0.6332822543136707
0.55,60,0.0,0.0,-3.7269394502419315,-3.976119604159061,25470.58346353927,39502.80714310627,14032.223679567,0.0,0.0,0.7827210088328731,0.10111111111111111,7.670162761428989,0.7656672626646325
0.85,30,0.05,0.0,-5.6294507744052495,-13.98459277863375,103511.57176497628,126432.05290158644,22920.481136610164,1146.0240568305082,1.0,1.2822361013144146,0.13944444444444445,13.443528735941488,0.5734886197564978
0.85,60,0.0,0.0,-6.603917827440539,-14.691733199393703,86878.00731038497,118197.26343783707,31319.2561274521,0.0,0.0,1.2261541991097522,0.15166666666666667,13.054881350171524,0.49223160608385025
1.15,30,0.0016666666666666666,0.0,-7.183362241557474,-18.819165420353272,156626.81543305094,171467.3665647504,14840.551131699467,24.734251886165776,0.03333333333333333,1.2790838831357032,0.18444444444444447,16.556445966833174,0.41480517003259737
1.15,60,0.1,0.0,-10.942460953528052,-20.214459146591434,232745.78035810284,219413.920652637,0.0,0.0,1.0,3.5494423108622755,0.3622222222222222,18.911093015513835,0.24475443142427658
