load,L,rho_hat,strategic_rho_hat,truthful_reward_per_slot,strategic_reward_per_slot,truthful_utility,strategic_utility,raw_strategic_gain,ic_slack,theory_rho_T_over_L,mean_delay_ms,sla_violation_rate,throughput_mbps,wasted_prbs,seed
0.85,60,0.024166666666666666,0.02,-10.183809517265688,-18.33616191601149,444951.7170319952,487141.75319881947,42190.036166824284,1019.5925406982535,0.9666666666666667,3.020459602022008,0.27152777777777776,14.247479124600261,1.6899256766008157,2
0.85,120,0.08708333333333333,0.05583333333333333,-7.614882344728351,-17.168387505072218,425643.2551017203,496922.31273877015,71279.05763704987,6207.217935893093,1.7416666666666667,5.174132663886394,0.2923611111111111,14.182312097122425,4.332835841466659,2
0.85,240,0.0,0.0,-11.680559903938702,-18.77852619110911,441046.8036482954,511102.7549536179,70055.95130532252,0.0,0.0,13.290182859989915,0.32486111111111116,13.8948456593847,3.4866920614335557,2
1.15,30,0.052083333333333336,0.03,-9.25328729608741,-20.823077357268048,773426.0906715858,749936.6143386391,0.0,0.0,4.166666666666667,3.7900597727754493,0.26708333333333334,19.305482500583906,0.9782901338848703,2
1.15,60,0.07208333333333335,0.07791666666666666,-12.144728220232613,-21.25397565774672,730199.3679878421,695060.9480475734,0.0,0.0,2.8833333333333337,6.844244409775487,0.397638888888889,19.224645540895004,1.4198630895064126,2
1.15,120,0.014583333333333332,0.0,-13.181747957345582,-19.530409048416978,779956.1006842745,740501.2631630976,0.0,0.0,0.29166666666666663,14.967736975490618,0.47347222222222224,19.263984587632006,1.7802551818963555,2
1.15,240,0.0875,0.1,-12.656715918717458,-18.997417842603806,676144.5623779715,684230.2559679709,8085.693589999457,808.5693589999457,0.875,10.05013354184021,0.39555555555555555,19.417164337542367,3.732524386812874,2
0.55,30,0.0,0.004583333333333333,-5.412900331276446,-5.834156829571472,174193.3016002154,200496.02452308964,26302.722922874236,120.55414672984026,0.0,1.1512543611040424,0.13958333333333334,9.768201296963152,1.6951214000917907,3
0.55,60,0.0,0.0,-4.86809946710204,-5.796665655357727,210366.80961173325,272168.30556448596,61801.49595275271,0.0,0.0,1.705901767061119,0.14347222222222222,9.662980527539263,1.9872449496183258,3
0.55,120,0.0,0.0,-4.190773301769989,-4.390269050186578,197385.13891267162,202090.49237307595,4705.353460404323,0.0,0.0,1.3917981321644384,0.12513888888888886,9.157222802660545,3.1397785866287053,3
0.55,240,0.0,0.0,-6.974274315714357,-7.139928367128011,190429.54510520687,243753.0291279917,53323.48402278483,0.0,0.0,1.6355784748713134,0.1775,9.609884300911231,3.6597344168509487,3
0.85,30,0.043333333333333335,0.026250000000000002,-9.128059399041327,-19.82211003483945,535542.7886688297,555622.6108146285,20079.822145798826,870.1256263179491,3.466666666666667,3.093883295569084,0.2555555555555556,15.55001767385607,1.0167873909384177,3
0.85,60,0.0,0.016666666666666666,-9.468293399474843,-16.834511201586885,474963.6737708972,479332.172407861,4368.498636963777,72.80831061606295,0.0,5.836608388630824,0.31430555555555556,14.974056151686863,1.5514407856920713,3
0.85,120,0.05,0.0,-8.918993568252143,-14.17736727162883,410344.4406051637,426984.25228408526,16639.81167892157,831.9905839460786,1.0,6.081016851504522,0.3359722222222222,13.493436454533295,2.430437562947363,3
0.85,240,0.024583333333333332,0.024583333333333332,-15.096942316860526,-20.031211897153636,415172.3083273461,456227.09885651834,41054.79052917223,1009.2636005088171,0.24583333333333332,13.293247655571005,0.41986111111111113,14.20298110336952,4.721434246883828,3
1.15,30,0.004166666666666667,0.042499999999999996,-11.073437503763756,-22.550110720516816,707232.8649139674,683899.7089981523,0.0,0.0,0.3333333333333333,3.6680821673923645,0.2877777777777778,18.67960256727412,0.975542523636215,3
1.15,60,0.03916666666666667,0.025,-11.786397151912707,-21.218723119594234,827089.4938166502,769428.5157975949,0.0,0.0,1.5666666666666667,6.626050768961628,0.4033333333333333,19.64787304857659,1.200545549365919,3
1.15,120,0.002916666666666667,0.0,-19.810577464080126,-20.50089295566902,713668.7717510115,667192.2259260498,0.0,0.0,0.058333333333333334,23.311121976971158,0.5109722222222222,18.95296303365576,1.8320991612159794,3
1.15,240,0.009166666666666667,0.0,-14.30153914066442,-19.925530856299687,708340.7897297397,723710.5678089511,15369.778079211479,140.8896323927719,0.09166666666666666,28.559764909109695,0.38027777777777777,18.469034323323207,3.154790500222074,3
0.55,30,0.0,0.004583333333333333,-4.7297043502147975,-5.869500792026758,239300.8120040859,293424.0349014232,54123.22289733731,248.06477161279602,0.0,1.488614911372474,0.14430555555555555,10.493882605957639,1.6988077814391525,4
0.55,60,0.0,0.0,-4.35632945045467,-5.0902421061045455,189906.71819841777,249573.72513230075,59667.00693388298,0.0,0.0,1.290385886605721,0.12416666666666668,9.275904536377384,2.4284660088079617,4
0.55,120,0.0,0.0,-6.134329372345201,-6.945341447603361,247072.74164697883,294982.5612554698,47909.81960849097,0.0,0.0,2.8564157321377506,0.2041666666666667,10.02882154743676,2.377796692020584,4
0.55,240,0.0,0.0,-5.330616301561961,-5.49620047354489,226209.15311642538,259357.83765961882,33148.684543193434,0.0,0.0,2.209714372453098,0.1738888888888889,9.048694002571176,1.938702014829646,4
0.85,30,0.0125,0.00625,-5.747013046633196,-11.236411290415882,397454.1967738605,431116.73512492987,33662.53835106938,420.78172938836724,1.0,1.9284091556986858,0.15958333333333335,13.693566104685782,1.2469466710221435,4
0.85,60,0.009583333333333334,0.0,-10.046201191683764,-17.728799862187746,478272.8460427238,514098.888406982,35826.0423642582,343.33290599080783,0.3833333333333334,7.341015110117164,0.3184722222222222,14.663719879187635,1.7322804073887519,4
0.85,120,0.0,0.0,-15.481232489027708,-19.886560277040694,442196.029322654,460487.2770498778,18291.24772722379,0.0,0.0,14.967823759431363,0.4555555555555556,14.078026603919085,1.3560819210386414,4
0.85,240,0.0,0.0,-13.3059281110052,-20.110468262955738,484177.15503614064,500959.8735746051,16782.718538464454,0.0,0.0,11.282277955896959,0.4155555555555555,14.468322564957456,2.1719218822136073,4
1.15,30,0.17333333333333334,0.12333333333333334,-13.070912864806758,-21.63530891266602,770394.6325396416,726626.5158129447,0.0,0.0,13.866666666666667,6.976123451548636,0.41291666666666665,20.229191367376153,1.190069692224339,4
1.15,60,0.15708333333333332,0.041249999999999995,-12.956327147599813,-23.12347585883332,897116.4329906008,877516.7262979406,0.0,0.0,6.283333333333333,9.119408096058311,0.37194444444444447,21.62668287704289,2.072257519518673,4
1.15,120,0.06458333333333334,0.10041666666666667,-12.246090353608421,-18.85367293079081,755001.8839668097,713726.2951304725,0.0,0.0,1.291666666666667,12.259486950953399,0.45902777777777776,18.990404966567695,2.500702152020097,4
1.15,240,0.09791666666666667,0.1,-16.060455431555003,-24.126213365100565,712418.5610770968,700966.6624010704,0.0,0.0,0.9791666666666666,13.39671318118442,0.41875,19.88816681416564,3.838301676012302,4
0.55,30,0.0,0.0,-5.3779490813378,-7.473577890929175,241899.6148793526,281304.01457294024,39404.39969358765,0.0,0.0,1.768487287489939,0.16111111111111112,9.990459796680302,1.2277009238676202,5
