load,L,rho_hat,strategic_rho_hat,truthful_reward_per_slot,strategic_reward_per_slot,truthful_utility,strategic_utility,raw_strategic_gain,ic_slack,theory_rho_T_over_L,mean_delay_ms,sla_violation_rate,throughput_mbps,wasted_prbs
0.55,30.0,3.472222222222222e-05,0.00038194444444444446,-4.787701121686582,-5.661024263623865,203067.3828458411,253375.65299573378,50308.27014989272,16.66117294507135,0.002777777777777778,1.3820955495497713,0.1348784722222222,9.51137866541449,1.4342467935937122
0.55,60.0,0.0005034722222222222,0.0,-5.216211984825589,-5.756419834566022,204493.408301934,247296.33371172388,42802.9254097899,29.9974984879769,0.02013888888888889,1.6383338656348023,0.1490277777777778,9.510858196018082,1.9906248496021381
0.55,120.0,0.0,0.00019097222222222223,-5.532650065772135,-5.838380708320735,212880.45728832952,252208.98745512075,39463.81637339215,8.033881711436278,0.0,2.0162155608876757,0.16401041666666666,9.502048351434217,2.6093470084062043
0.55,240.0,1.736111111111111e-05,1.736111111111111e-05,-6.002344399294192,-6.302011179957737,211500.68034009848,243751.01441226914,34394.07133188456,1.0605706026503519,0.00017361111111111112,2.1954054516423906,0.17723958333333334,9.492523718067707,3.168325135803105
0.85,30.0,0.02064236111111111,0.014131944444444445,-7.786482742527138,-17.498322177482148,468333.6785952216,510674.62431727495,42340.94572205343,895.9985223167273,1.6513888888888888,2.7209846124901897,0.21972222222222224,14.70299193776239,1.2397689592377101
0.85,60.0,0.015399305555555557,0.007795138888888889,-9.728431457075237,-16.59923639101896,473662.7293989887,498271.0419967447,27087.003174184752,610.8814206170784,0.6159722222222223,5.937561392534682,0.3148726851851852,14.517707723257246,1.837543159017932
0.85,120.0,0.026319444444444447,0.014496527777777777,-11.123173932391438,-16.912427794582523,460286.2323754267,492052.117528159,31770.132320191286,824.0890846519542,0.5263888888888889,9.357508423000418,0.3568865740740741,14.40769430825941,2.840283309770486
0.85,240.0,0.004600694444444445,0.0015624999999999999,-13.767618936602844,-18.49095661038617,473926.163495019,500331.4302109338,34574.492903835075,287.4178017529362,0.04600694444444445,17.605706461752494,0.4078414351851852,14.42395785583586,3.007745819184541
1.15,30.0,0.08984375,0.06850694444444444,-12.13567994329295,-21.531139761376096,797505.2324098954,758311.3805521749,182.54530265049834,15.364229639750278,7.1875,6.01824108162609,0.3584085648148148,19.853739690020017,0.9515355382560742
1.15,60.0,0.0935763888888889,0.062378472222222224,-14.052115200567227,-22.628130536377082,771487.7905656723,746882.0294859945,2064.1662974650826,268.1619818037321,3.743055555555556,8.40771926998506,0.3987789351851852,19.771495727361675,1.6318518866357528
1.15,120.0,0.0884375,0.05314236111111111,-17.48811935360226,-22.26639375598594,752218.2909313092,720706.0348479372,981.4662808947081,95.68626826967994,1.76875,20.711371928465294,0.48322337962962963,19.467604233508727,2.26370624679404
1.15,240.0,0.10097222222222223,0.05918402777777778,-15.83910823397415,-21.548463735225912,716069.6195550355,697275.2253322233,7210.371248375901,1336.773671234252,1.0097222222222222,18.725975029320807,0.43917824074074074,19.259739879660675,3.6962873238032703
